title,url,address,latitude,longitude,price,info,description
"Big, Bright and Beautiful - 5 bedroom Centre City",https://www.kijiji.ca/v-apartments-condos/st-johns/big-bright-and-beautiful-5-bedroom-centre-city/1740043909,"37 Cashin Avenue, St. John&apos;s, NL, A1E 3A9",47.556807006503,-52.733634986325,$2400,Bedrooms: 4 *** Bathrooms: 2 *** Size (sq ft): 2000 *** Pets Allowed: No *** Lease Length: one-year,Freshly painted and updated home located in the center of the city includes the follow features: - 4 very large bedrooms + Den - Spacious livingroom - Open kitchen and eating area - Fridge - Stove - ...
3-bedroom bungalow for rent in St. John’s,https://www.kijiji.ca/v-apartments-condos/st-johns/3-bedroom-bungalow-for-rent-in-st-john-s/1742836362,"St. John&apos;s, NL A1C 5A2",47.563929864002,-52.727787351575,$1500,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 900 *** Pets Allowed: No *** Lease Length: one-year,"14 Hamel Street is a single-family home located in a desirable neighborhood in the heart of St. John’s. This quaint, clean 3-bedroom and 1 bath bungalow is situated within walking distance to ..."
"Large, Updated, 3-bedroom + Den in the heart of downtown",https://www.kijiji.ca/v-apartments-condos/st-johns/large-updated-3-bedroom-den-in-the-heart-of-downtown/1740349967,"159 Queens Road, St. John&apos;s, NL, A1C 1W9",47.56271901427,-52.710635966021,$2100,Bedrooms: 3 *** Bathrooms: 2.5 *** Size (sq ft): 2000 *** Pets Allowed: No *** Lease Length: one-year,This large three-bedroom home downtown close to all amenities is perfect for professionals who work in the area or work from home. It has had many updates in recent years and features: - Top floor ...
"FULLY FURNISHED STUDIO APT. DWTN. W &amp; D/DSHWSHR, T.V/INTNT INCL",https://www.kijiji.ca/v-apartments-condos/st-johns/fully-furnished-studio-apt-dwtn-w-d-dshwshr-t-v-intnt-incl/1743089561,"St. John&apos;s, NL A1C 3L7",47.570758265243,-52.7042040288,$1400,Bedrooms: 0 *** Bathrooms: 1 *** Size (sq ft): 500 *** Pets Allowed: No *** Lease Length: month-to-month,"FULLY FURNISHED including kitchenware - Studio Apt. Great Downtown neighbourhood. Walk to everywhere. Includes T.V. and Internet, Washer/Dryer/Dishwasher/AC. No smoking. No Pets. ONE person only. ..."
TORBAY - RIVER VALLEY ESTATES - 3 BEDROOM HOUSE !,https://www.kijiji.ca/v-apartments-condos/st-johns/torbay-river-valley-estates-3-bedroom-house/1743058001,"Torbay, NL A1K 0G3",47.655481159527,-52.739920910792,$2000,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 1100 *** Pets Allowed: No *** Lease Length: month-to-month,WELCOME to scenic Torbay! ONLY 5 MINUTES FROM STAVANGER DRIVE AREA LOCATED IN A VERY QUIET CUL DE SAC AVAILABLE October 1st or November 1st 3 BEDROOM / 2 BATH / 3 VEHICLE PARKING! SHED - for storage ...
1 bed room in shared house of 4 tenants ,https://www.kijiji.ca/v-apartments-condos/st-johns/1-bed-room-in-shared-house-of-4-tenants/1743054233,"14 O&apos;Leary Ave, St. John&apos;s, A1B 2C7",47.561659206432,-52.756749509255,$700,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 500 *** Pets Allowed: No *** Lease Length: one-year,1 bedroom in shared house Available immediately 3 other tenants share kitchen and bathroom 10mins to groceries and amenities Close to avalon mall and MUN
"183 Topsail Road Unit#C St. John&apos;s, Newfoundland &amp; Labrador",https://www.kijiji.ca/v-apartments-condos/st-johns/183-topsail-road-unit-c-st-johns-newfoundland-labrador/1743029084,"Topsail Road Unit#C, St. John&apos;s, NL, A1E2B2",47.542403921272,-52.731305068699,$2800,Bedrooms: 2 *** Bathrooms: 2 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: Not Available,"Bright and spacious 2-bedroom, 2-bathroom apartment offering approximately 1,100 sq ft of comfortable living space in a quiet, owner-occupied three-unit building. The open-plan layout features a ..."
BRAND NEW FURNISHED 1 BEDROOM / 1 BATHROOM SUITE,https://www.kijiji.ca/v-apartments-condos/st-johns/brand-new-furnished-1-bedroom-1-bathroom-suite/1743020764,"Lasalle Dr, Mount Pearl, A1N 0B2",47.532255196726,-52.810392851387,$1490,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 600 *** Pets Allowed: No *** Lease Length: month-to-month,"BRAND NEW FURNISHED 1 BEDROOM / 1 BATHROOM SUITE Available September 20th $1490/month + POU (High Speed Wi-Fi Included) Bright, clean, and brand-new one-bedroom, one-bathroom ground-level suite in a ..."
3BED ROOM 1BATH - HEAT LIGHT INTERNET INCLUDED,https://www.kijiji.ca/v-apartments-condos/st-johns/3bed-room-1bath-heat-light-internet-included/1743008109,"Campbell Ave, St. John&apos;s, NL, A1E2Z3",47.554541819579,-52.726005130926,$2800,Bedrooms: 3.5 *** Bathrooms: 1 *** Size (sq ft): 2000 *** Pets Allowed: No *** Lease Length: month-to-month,* Heat and lights and wifi included * 3 bedroom plus rec room 1 bathroom Laundry room with Washer and dryer Lots of parking 10 mins from downtown
"Luxury Condo Apartments - Killam&apos;s Chelsea Place, St John&apos;s",https://www.kijiji.ca/v-apartments-condos/st-johns/luxury-condo-apartments-killams-chelsea-place-st-johns/1743003224,"11 &amp; 15 St. John&apos;s Place, St. John&apos;s, NL, A1A 0L8",47.585652697638,-52.693540739218,$2445,Bedrooms: 2 *** Bathrooms: 2 *** Size (sq ft): 900 *** Pets Allowed: No *** Lease Length: one-year,"Chelsea Place in St. Johns is a fantastic location to call home. This amazing building features a grand foyer equipped with an elevator, residents lounge plus a fully equipped fitness room. The ..."
